"Id","BIRTHDATE","DEATHDATE","SSN","DRIVERS","PASSPORT","PREFIX","FIRST","LAST","SUFFIX","MAIDEN","MARITAL","RACE","ETHNICITY","GENDER","BIRTHPLACE","ADDRESS","CITY","STATE","ZIP"
"c0471187-9da9-45b1-069f-a1f013d4e5f8",1988-06-12,NA,"999-65-9933","S99930088","X33993965X","Mr.","Samir","Haddad",NA,NA,"M","asian","not_hispanic_or_latino","M","Easton  Pennsylvania  US","225 Pine St","Easton","Pennsylvania","18042"
"d1582298-aeba-46c2-17a0-b20024e5f609",1992-02-28,NA,"999-03-6672","S99988401","X27624303X","Mrs.","Clara","Murray",NA,"Sloan","S","white","not_hispanic_or_latino","F","New Castle  Pennsylvania  US","19 Brookside Ct","New Castle","Pennsylvania","16101"
"e26933a9-bfcb-47d3-28b1-c31135f6071a",2001-08-09,NA,"999-40-5127","S99901993","X72127540X","Mr.","Noah","Fischer",NA,NA,"S","white","not_hispanic_or_latino","M","West Chester  Pennsylvania  US","141 Union St","West Chester","Pennsylvania","19382"
"f37a44ba-c0dc-48e4-39c2-d42246f7182b",1991-12-16,NA,"999-88-1091","S99955671","X91011988X","Mr.","Leon","Rossi",NA,NA,"M","white","hispanic_or_latino","M","Hazleton  Pennsylvania  US","88 Maple Ave","Hazleton","Pennsylvania","18201"
"0a8b55cb-d1ed-49f5-4ad3-e53357f8293c",1987-04-28,2025-03-17,"999-72-2010","S99911020","X01020172X","Mrs.","Maya","Singh",NA,"Kaur","M","asian","not_hispanic_or_latino","F","Monroeville  Pennsylvania  US","606 Orchard Rd","Monroeville","Pennsylvania","15146"
"1b9c66dc-e2fe-4a06-5be4-f64468f93a4d",1992-09-03,NA,"999-14-7720","S99922107","X20772014X","Mr.","Logan","Parker",NA,NA,"M","white","not_hispanic_or_latino","M","Doylestown  Pennsylvania  US","315 Highland Dr","Doylestown","Pennsylvania","18901"
"2cad77ed-f30f-4b17-6cf5-0755790a4b5e",1991-06-30,NA,"999-09-4310","S99933410","X10431009X","Ms.","Tessa","Carter",NA,NA,"S","white","not_hispanic_or_latino","F","Bristol  Pennsylvania  US","707 Vine St","Bristol","Pennsylvania","19007"
"3dbe88fe-0410-4c28-7d06-18668a1b5c6f",1986-03-22,NA,"999-30-8821","S99901821","X21882130X","Mr.","Hector","Lopez",NA,NA,"M","white","hispanic_or_latino","M","Camden  New Jersey  US","510 River Rd","Philadelphia","Pennsylvania","19104"
"4ecf990f-1511-4d39-8e17-29779b2c6d70",1989-11-19,NA,"999-22-9055","S99944055","X55059022X","Mrs.","Brie","Schmidt",NA,"Weber","M","white","unknown","F","Norristown  Pennsylvania  US","221 Elm St","Norristown","Pennsylvania","19401"
"4059910f-1511-4d39-8e17-29cc2b2c6d70",1995-05-26,NA,"999-02-4418","S99904418","X18441802X","Mr.","Cody","Price",NA,NA,"S","white","unknown","M","Ambler  Pennsylvania  US","90 Spruce St","Ambler","Pennsylvania","19002"
"5160a210-2612-4e4a-9f28-3aee3c3d7e81",1998-06-12,NA,"999-60-7317","S99907317","X17731660X","Ms.","Paige","Stone",NA,NA,"S","white","not_hispanic_or_latino","F","Greensburg  Pennsylvania  US","404 Main St","Greensburg","Pennsylvania","15601"
"6271b321-3723-4f5b-a039-4bff4d4e8f92",2000-09-11,NA,"999-16-2202",NA,NA,NA,"Aiden","Hart",NA,NA,NA,"white","not_hispanic_or_latino","M","Murrysville  Pennsylvania  US","7 Park Ave","Murrysville","Pennsylvania","15668"
"7382c432-4834-405c-b14a-5c111e5f90a3",1996-01-17,NA,"999-45-7701","S99917701","X01770145X","Mr.","Dylan","Reyes",NA,NA,"S","white","hispanic_or_latino","M","Allison Park  Pennsylvania  US","640 Ridge Rd","Allison Park","Pennsylvania","15101"
"8493d543-5945-416d-c25b-6d222f60a1b4",1997-06-13,NA,"999-88-1044","S99901044","X44104488X","Ms.","Isla","Foster",NA,NA,"S","white","not_hispanic_or_latino","F","Shippensburg  Pennsylvania  US","218 Elm St","Shippensburg","Pennsylvania","17257"
"95a4e654-6a56-427e-d36c-7e333071b2c5",1998-05-14,NA,"999-31-6609","S99906609","X09660931X","Mr.","Leo","Ng",NA,NA,"S","asian","not_hispanic_or_latino","M","Exton  Pennsylvania  US","820 Oak Ave","Exton","Pennsylvania","19341"
"a607f765-7b67-438f-e47d-8fddd182c3d6",1986-06-04,NA,"999-18-7744","S99911744","X44774418X","Mrs.","Lana","Kim",NA,"Park","M","asian","not_hispanic_or_latino","F","Blue Bell  Pennsylvania  US","330 Cedar Ct","Blue Bell","Pennsylvania","19422"
"b7180876-8c78-44a0-f58e-90eee293d4e7",1987-05-11,NA,"999-41-2209","S99930209","X09220941X","Mr.","Omar","Hussein",NA,NA,"M","asian","not_hispanic_or_latino","M","Upper Darby  Pennsylvania  US","710 Cedar St","Upper Darby","Pennsylvania","19082"
"c8291987-9d89-45b1-069f-a1fff3a4e5f8",1990-09-02,NA,"999-67-1408","S99961408","X08140867X","Ms.","Talia","Green",NA,NA,"S","white","not_hispanic_or_latino","F","Phoenixville  Pennsylvania  US","214 Grant St","Phoenixville","Pennsylvania","19460"
"d93a2a98-ae9a-46c2-17a0-b20aa4b5f609",1988-08-03,NA,"999-10-9931","S99909931","X31993110X","Mr.","Arjun","Shah",NA,NA,"M","asian","unknown","M","Levittown  Pennsylvania  US","112 Cherry St","Levittown","Pennsylvania","19054"
"ea4b3ba9-bfab-47d3-28b1-c31bb5c6071a",1991-12-04,NA,"999-83-2201","S99912201","X01220183X","Mrs.","Cora","Martin",NA,"Wright","M","white","not_hispanic_or_latino","F","Carlisle  Pennsylvania  US","552 Pine St","Carlisle","Pennsylvania","17013"
"fb5c4cba-c0bc-48e4-39c2-d42cc6d7182b",1992-10-29,NA,"999-28-4410","S99904410","X10441028X","Mr.","Jonah","Miller",NA,NA,"M","white","not_hispanic_or_latino","M","Beaver  Pennsylvania  US","410 Park Rd","Beaver","Pennsylvania","15009"
"0c6d5ddb-d1cd-49f5-4ad3-e53dd7e8293c",1993-03-18,NA,"999-06-1170","S99951170","X70117006X","Ms.","Keira","O'Neill",NA,NA,"S","white","not_hispanic_or_latino","F","Wilkes-Barre  Pennsylvania  US","99 Maple St","Wilkes-Barre","Pennsylvania","18701"
"1d7e6eec-e2de-4a06-5be4-f64ee8f93a4d",1994-11-20,NA,"999-73-5002","S99925002","X02500273X","Mrs.","Mina","Khan",NA,"Ali","M","asian","not_hispanic_or_latino","F","Bensalem  Pennsylvania  US","707 Cedar Ave","Bensalem","Pennsylvania","19020"
"2e8f7ffd-f3ef-4b17-6cf5-07aa090a4b5e",1991-05-09,NA,"999-39-8881","S99908881","X81888139X","Mr.","Grant","Young",NA,NA,"S","white","not_hispanic_or_latino","M","Quakertown  Pennsylvania  US","318 Walnut St","Quakertown","Pennsylvania","18951"
"3f9a801e-0400-4c28-7d06-18bb1a1b5c6f",1993-02-10,NA,"999-55-0199","S99910199","X99019955X","Ms.","Renee","Lewis",NA,NA,"S","black","not_hispanic_or_latino","F","New Kensington  Pennsylvania  US","271 River Rd","New Kensington","Pennsylvania","15068"
